"","TCGA-ZS-A9CD-01A-11R-A37K-07","TCGA-UB-A7MD-01A-12R-A352-07","TCGA-BW-A5NQ-01A-11R-A27V-07","TCGA-DD-AACX-01A-11R-A41C-07","TCGA-GJ-A9DB-01A-11R-A37K-07","TCGA-DD-A1ED-01A-11R-A155-07","TCGA-DD-AAD2-01A-11R-A41C-07","TCGA-DD-AAE9-01A-11R-A41C-07","TCGA-RG-A7D4-01A-12R-A33R-07","TCGA-2Y-A9GW-01A-11R-A38B-07","TCGA-MI-A75G-01A-11R-A32O-07","TCGA-DD-AACH-01A-11R-A41C-07","TCGA-RC-A7SF-01A-11R-A352-07","TCGA-ZS-A9CF-02A-11R-A38B-07","TCGA-ZS-A9CF-01A-11R-A38B-07","TCGA-DD-A73A-01A-12R-A32O-07","TCGA-2Y-A9HB-01A-11R-A39D-07","TCGA-EP-A26S-11A-12R-A16W-07","TCGA-EP-A26S-01A-11R-A16W-07","TCGA-DD-AACK-01A-11R-A41C-07","TCGA-DD-A73E-01A-12R-A32O-07","TCGA-2Y-A9H9-01A-21R-A39D-07","TCGA-KR-A7K0-01A-12R-A33R-07","TCGA-5C-A9VH-01A-11R-A37K-07","TCGA-DD-AAW3-01A-11R-A41C-07","TCGA-DD-AAC8-01A-11R-A41C-07","TCGA-K7-A5RG-01A-11R-A28V-07","TCGA-DD-AACA-02A-11R-A41C-07","TCGA-DD-AACA-01A-11R-A41C-07","TCGA-DD-AACA-02B-11R-A41C-07","TCGA-DD-AADS-01A-11R-A41C-07","TCGA-K7-A5RF-01A-11R-A28V-07","TCGA-DD-AAEH-01A-11R-A41C-07","TCGA-KR-A7K2-01A-12R-A33R-07","TCGA-DD-A4NF-01A-11R-A27V-07","TCGA-DD-A11C-11A-11R-A131-07","TCGA-DD-A11C-01A-11R-A131-07","TCGA-2Y-A9H4-01A-11R-A38B-07","TCGA-K7-A6G5-01A-11R-A311-07","TCGA-DD-A4NI-01A-11R-A27V-07","TCGA-DD-A11A-11A-11R-A131-07","TCGA-DD-A11A-01A-11R-A131-07","TCGA-DD-AACF-01A-11R-A41C-07","TCGA-DD-AAEI-01A-11R-A41C-07","TCGA-DD-A11B-01A-11R-A131-07","TCGA-DD-A11B-11A-11R-A131-07","TCGA-DD-AAW2-01A-11R-A41C-07","TCGA-G3-AAV5-01A-11R-A37K-07","TCGA-DD-A4NO-01A-11R-A28V-07","TCGA-DD-A1EA-01A-11R-A131-07","TCGA-4R-AA8I-01A-11R-A38B-07","TCGA-MI-A75C-01A-11R-A32O-07","TCGA-G3-A25S-01A-11R-A16W-07","TCGA-DD-A39Y-01A-11R-A213-07","TCGA-2Y-A9GX-01A-11R-A38B-07","TCGA-G3-A25V-01A-11R-A16W-07","TCGA-BC-A69H-01A-11R-A311-07","TCGA-G3-A5SL-01A-11R-A27V-07","TCGA-DD-AAEA-01A-11R-A41C-07","TCGA-G3-A3CI-01A-11R-A213-07","TCGA-DD-AACI-01A-11R-A41C-07"
"CPT1A",7.39748256586145,6.84149160975892,6.2219435429158,7.20218567932643,7.45369543072776,7.13508018671433,7.4059502234474,7.222188124082,5.81011685252293,6.04333375513659,6.59266469435512,6.56402043740775,9.11338930963961,8.25312600019927,6.75895195763301,6.83426421878407,8.08869032960437,5.41247831013265,7.34058577159552,7.93108976508137,7.02395295581594,9.41389227423095,7.13559916418518,7.20432850759794,6.35264611743713,6.51534854313659,7.30072324497715,7.05251815228534,6.37037129774728,6.47631413659717,5.58335608450929,7.72071455799538,7.61102214901074,6.77746222784994,8.24942332514022,7.26079856672641,6.31130599843184,5.09796098872866,6.52523942092534,6.58452610485912,7.61091334501307,8.84337668646674,8.20409029087407,6.31373711658163,8.57663530806852,7.13624480413585,4.47341107517788,6.86396558961795,9.05275220921393,7.24842899820424,8.88916627660676,6.45427995184468,6.33033072921614,6.9600564240374,6.96694253095905,7.11240325883653,6.4370764207165,8.24845504806254,6.39233799197086,7.42629986415647,6.60047336329506
"PDZD4",0.915214228875883,0.566713003542554,-0.708816316650228,-3.25409765900921,1.17225724832661,0.896575099702629,2.00456490146259,-2.33150162148406,-0.202275670783959,1.63415462106186,-2.40374835663869,-0.319549002462839,-0.673288448312045,-1.11923102975296,-0.534222180498478,0.422521914573995,1.05768303567911,-0.172438159161797,0.108701222923261,-1.45511671519628,-1.42980300311002,-1.08453165432203,0.932680314447745,2.35246398744682,-0.289062008789581,-1.95700339564962,0.806494861090283,-1.18478467775152,-0.356356859919321,-2.30044602969749,-0.77232262901387,1.95820437636956,1.65364926913494,1.35516459973064,-0.401485076930635,0.486928286773441,-0.244885638867513,0.538948762879151,-0.0894672686529301,0.903637958144321,0.752690865016049,-0.590045672967152,-0.554520105106323,-1.43252687641243,-0.421404447155493,1.51346689658686,-0.580037416912901,-1.19360062310549,0.504129852189575,-1.60716989959916,0.24656052785945,-1.22218317826504,-1.44002131351771,-0.737940528650947,2.26932748794936,2.12641166903135,-0.229343228539107,-0.377157211732751,-0.814535242987347,1.22954213620759,1.01786712359087
"NOL4L",3.34345809554577,3.27858669862909,2.99829007770153,1.69024296406468,3.85584217213968,2.99003536963751,3.45992348201313,1.48481207316208,3.23913716275898,3.26539000135733,3.20024208316549,4.23421862062011,2.68706480636432,3.28865432288562,3.39949327177832,2.98313158849197,2.80451934333754,1.46362023192399,3.42603412561776,2.90055494841947,3.27214274036821,3.25211095669747,3.22292577912044,4.22168522937942,2.81499276375938,1.96134438811512,3.26380498502801,3.94880998018799,3.2403428634496,3.16123698857006,2.66809825273496,2.67209013323499,3.6394473280376,3.69571305623124,2.61744926442178,2.04340966318924,3.11249608739132,2.62956471623201,2.94855751175737,3.3162474304015,3.76964632867944,2.48966113703271,2.32623366078506,1.63622684895769,2.9985644335112,2.48850636578115,2.4920273264334,2.31728714694579,3.98989232559431,1.79276444952229,3.09925943926378,2.90418367456323,2.84834412876526,1.83040344523188,3.86340105112166,3.46403088544299,4.11975545855993,2.11420059797784,4.27013808355882,2.64014960684738,3.06286323379754
"SRGAP2C",1.00635747891712,1.10366219977194,3.09438285951326,1.31249471760843,2.99143098767977,1.72777190302449,1.96490358676636,0.423479796186462,1.20548589530171,2.02040538655075,2.62716019189305,2.01881318580442,2.24152006519553,3.03267977842365,2.96981191862824,2.44009206555114,2.13844743301392,0.446180539321989,1.75108566601728,1.43769157993283,2.59211797728129,2.05779568552725,2.23256040318854,1.09579822879227,0.852045493637843,1.61902026152039,2.46702592365874,3.04350362122309,2.85048816019853,2.48075679134363,0.0679107381103682,1.29077402510329,1.63140341049969,1.49186466938585,3.44585564127258,0.849250624486114,1.70143815196816,2.47786415848858,1.15666722450195,1.07910099023345,1.68410706300998,3.35259953861969,0.776359000941206,1.83245505231847,2.5073947701494,1.06180153028105,0.75986988665513,1.85733080840323,1.92754619236173,2.03750265058528,2.55212451065431,0.291733720287866,3.04050678158879,2.05231822720918,2.86316710613253,1.71379956411933,-0.155003281774187,0.968252266185732,1.91744627243697,1.9589758714144,0.859076956736086
"SLC4A8",-2.8418641379046,-0.99930635791482,-1.09191009799269,-2.76322793480931,-1.69300957728937,-0.958106588121464,-1.55502577026166,-4.60494281134497,-0.0858262075844131,-0.00866010539959115,-3.11987691538212,-1.39301066231412,-1.18586328018337,-1.51452637774233,-1.23125988161598,-1.62348775263511,-1.40332963615567,-2.94150506427206,-2.48709367172608,-1.80589133853514,-2.65306325096383,-3.46178213209293,-0.902766564909713,-2.05449094835282,-3.816213989716,1.05374037772985,0.0289490694763569,-1.45827135341183,-1.79699214673911,-2.93190125367388,-3.02619715271112,-1.79680405062751,-1.15102612657289,-2.19050147613914,-0.92997559547221,-2.63374124543079,-1.32956300648508,-3.32309112160894,-3.06796256264138,-1.06005773186384,-1.73385698115058,-2.03965624694981,-1.20681860707066,-1.79518584368984,-2.1177753488796,-2.24038044883351,-1.56278263542601,-2.35036952660013,-1.67738398347842,-1.18874872019835,-0.920167860799981,-2.29146256779369,-2.07354778783851,-3.75737247118064,-0.101766485979129,-1.31073528185242,-2.70029504532812,-2.64615582446244,-2.20472332730954,-1.17566721567745,-1.24819066417528
"MSRB3",3.01071375372672,3.28786512884616,2.36089298499539,0.323981035753722,3.51024842148684,3.0633939354115,3.6024403824465,-1.33767868876722,0.515362781374362,2.79460953075321,1.23370929870152,5.10148924283151,0.278648338883945,2.43376691042411,2.21265058342085,1.37417727815514,2.47113713106212,1.81967294884142,2.62586901423579,1.57532294001082,1.3976069547286,2.37111349618865,2.8502877186857,4.06703108990463,1.74834924850746,1.12706505698229,3.92016051459852,2.72503048969646,2.27313998611369,0.731323139568928,-1.2441382753673,3.3646347695973,2.69870489097871,2.44806092163802,1.84089283139367,1.31135604644414,3.5183511429632,1.32870915597481,1.47326701737658,3.06312987990873,2.11707873638909,2.04171379905636,0.37855051080971,0.967655861591922,2.43577958876767,2.64091434790281,2.54199764101635,0.522169668982959,2.66121662802884,0.725558154185673,3.34739006558176,3.25797896403285,0.122993424043688,1.65338226001388,4.31307433351768,2.9802538844052,2.00379179320001,2.6110009835697,-0.264754007792404,2.14971357826711,2.32819651292268
"TRERF1",0.837912672655903,1.18536990779349,2.22282608141134,-0.805669820769267,1.12868497477889,1.32934987363993,1.39250583158919,-0.492435657826889,1.84678912515979,2.05232274325467,-0.938703487482703,0.468449519995325,-0.337975550696812,1.29056537958787,1.24747620214411,1.48789413503168,1.21719799775721,0.22579877172381,0.317342921361095,0.535386200116569,0.0111804818631959,-0.230516750100382,0.916362676278756,1.38485545647043,-0.092301972963839,-0.580235608365978,3.64614912969987,0.807537811944016,0.62180171260336,-0.538009380132732,-0.526264495362104,1.61512787567374,1.73935335431263,0.693768147025539,0.242205364759227,0.942305829715415,1.75960249357094,0.284052277145398,0.231841671133029,1.45828541254773,0.94865052919044,0.00173312102437976,-0.511439967683537,0.304656469948248,0.35637221722623,1.0016352292425,0.374955178647228,-0.523779413665642,1.22027926749298,1.35567088934036,1.45728326853352,-0.257441081999511,-1.00130141574765,0.10562879461135,2.99088929176587,1.77932953564568,-0.390606722407461,0.149204425118841,0.949568463263581,0.522130521289417,1.01786712359087
"FGF9",-4.60494281134497,-2.4174572942755,-4.02381541944477,-4.60494281134497,-3.97840550875772,-1.18204605994063,-3.8720505889844,-4.60494281134497,-4.60494281134497,-2.92305203315276,-4.60494281134497,-2.42144631652036,-4.60494281134497,-4.60494281134497,-3.48681158256442,-3.94975715973142,-4.60494281134497,-4.60494281134497,-4.60494281134497,-1.896948714319,-3.50227599231384,-4.60494281134497,-4.60494281134497,-3.45793293414291,-4.60494281134497,-4.60494281134497,-3.96882835726255,-4.05687762642013,-4.60494281134497,-4.60494281134497,-4.60494281134497,-4.01967543387115,-4.60494281134497,-4.60494281134497,-4.60494281134497,-4.60494281134497,-4.60494281134497,-2.20044134139921,-4.60494281134497,-2.16779961471211,-4.60494281134497,-1.68688088528772,-3.60173091179591,-4.60494281134497,-3.43092684501689,-4.60494281134497,-4.60494281134497,-4.60494281134497,-2.85644795225644,-3.98434485738814,-4.60494281134497,-4.60494281134497,-1.52811275827208,-1.19981981468894,-3.56410032737331,-4.60494281134497,-0.191694479650385,-4.60494281134497,-4.60494281134497,-4.60494281134497,-3.58549243432183
"RAB5B",6.74692894320357,6.82352693527498,7.21700742078905,7.13814930905997,6.89839127498265,6.76965461131695,6.44847668087018,7.13591536079776,7.20636733033789,6.67696342248611,6.90097704444811,7.26081860925887,6.50607763724588,7.54128539896256,7.20585900920186,6.66761092451205,6.84550638854679,6.11075629144871,7.42495717615655,6.7647085077157,7.69599328896295,6.44583357780844,6.7686432560664,6.88390385111964,7.17379932987464,7.54108095724263,7.3318485371638,7.81536554607708,7.62551505618393,7.30648040601982,5.97974142041087,6.46071396367473,6.71280838993784,6.6575929122394,7.40791597582876,6.45128545580768,7.3931039172916,6.98920776794469,6.57013328623048,6.51966939614033,6.30567839903647,7.26279228224638,6.40147072673832,6.93653219879695,6.72794943548671,6.27122907119848,7.12025881953628,6.77147303061579,6.73563615912046,7.22305804161207,6.89427762222921,6.97344188590606,6.76645887640194,6.64640825825248,6.77565310868762,6.4770199216943,6.7428554211058,7.13415632206806,6.84483440503459,6.75126803920818,6.60047336329506
"ADAMTS1",6.1402745695993,5.09176087857892,3.58077729670387,3.50075022456336,5.25683932614417,5.88069213175167,5.31510713967057,1.63875708132197,2.65545281323211,5.46797054503526,3.49331941299608,4.77488752633512,2.10669787828691,4.29537817322233,5.31995770721967,2.95703761552167,3.48761504192257,5.07332005222724,3.19566753267643,4.57061129973897,4.50307506423319,3.68057178363905,4.79251624395623,5.14983405791722,3.26429023851112,3.28696463263735,4.87295123780285,4.74407744825276,4.09718076857514,3.89380436942835,1.23554997764435,6.94117714723456,3.7699144859015,4.01445780823873,3.95982130193569,4.45199850048298,5.61021865247243,3.55427366510063,4.40608833627082,4.49161614288346,6.90165725699927,5.17543685983909,4.77650364204361,2.50112663652617,4.20059787261371,6.31977680309992,4.688351587641,3.52064998169244,4.32055852333838,3.54889542834341,4.92961808984579,2.41247689162935,2.93737992293781,2.45803871950401,6.050632774643,5.96400956570015,1.40996708767363,5.33323867264081,2.78629693120377,4.72695768000824,4.11660100693189
"MERTK",3.26810829241512,5.60245211360407,3.82026610974699,3.88781493017679,4.92025668666749,4.13347425619413,3.47058355912028,4.98172553036001,4.69117131161874,3.46829117003902,4.20426508126519,4.95344869376361,2.09090926834572,2.37974108993537,3.1050149714106,3.33682505859585,3.3905185897952,3.18310338347217,6.65227057556531,3.59415495815691,7.34798391681808,3.46606904271594,5.30219255678769,3.7352134730422,3.86802269296805,5.54772168878044,3.87832786746667,6.18346755950632,6.90071278326541,5.02849476109942,-0.0490978551131621,4.6127159475098,3.65055129011907,3.13964100931339,7.27777670640332,4.69421234736928,3.8135421185286,2.16428541823357,3.43908399161168,3.89336423673491,3.82059584080402,4.72991803234779,3.42103990894593,3.49324597438206,3.97761743394962,3.61288129407229,4.0614060797479,3.61289503383596,4.3064849662058,6.39267546212431,5.39740849532884,2.54947045925555,2.90410618460906,2.794982355202,4.20505382857837,3.44900676399584,1.8039685098774,5.49434653153245,3.34985082881819,3.65730355000733,2.62326257481582
